,1,2
A,A1805.DCE,A1809.DCE
AG,AG1806.SHF,AG1812.SHF
AL,AL1805.SHF,AL1804.SHF
AU,AU1806.SHF,AU1812.SHF
BU,BU1806.SHF,BU1812.SHF
C,C1809.DCE,C1805.DCE
CF,CF809.CZC,CF805.CZC
CS,CS1805.DCE,CS1809.DCE
CU,CU1805.SHF,CU1804.SHF
FG,FG805.CZC,FG809.CZC
HC,HC1805.SHF,HC1810.SHF
I,I1805.DCE,I1809.DCE
J,J1805.DCE,J1809.DCE
JD,JD1805.DCE,JD1809.DCE
JM,JM1805.DCE,JM1809.DCE
L,L1805.DCE,L1809.DCE
M,M1809.DCE,M1805.DCE
MA,MA805.CZC,MA809.CZC
NI,NI1805.SHF,NI1809.SHF
OI,OI805.CZC,OI809.CZC
P,P1809.DCE,P1805.DCE
PP,PP1805.DCE,PP1809.DCE
RB,RB1805.SHF,RB1810.SHF
RM,RM805.CZC,RM809.CZC
RU,RU1805.SHF,RU1809.SHF
SR,SR805.CZC,SR809.CZC
T,T1809.CFE,
TA,TA805.CZC,TA809.CZC
TF,TF1809.CFE,
V,V1805.DCE,V1809.DCE
Y,Y1809.DCE,Y1805.DCE
ZC,ZC805.CZC,ZC809.CZC
ZN,ZN1805.SHF,ZN1804.SHF
