,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,3208.0,,,,,
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,3286.0,,,
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,3304.0,,,,,
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2939.0,,,,
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,3266.0,,3188.0,,,,
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,3259.0,,,,
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,3283.0,,,,
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,3345.0,,,,
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3399.0,,,,
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,3257.0,,,,
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,3298.0,,,,
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,3308.0,,,,
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,3241.0,,,,
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,3420.0,,,,
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,3292.0,,,,
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,3298.0,,,,
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,3338.0,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,3504.0,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,3645.0,,,,,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,3204.0,,,,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,3792.0,,,,,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,3446.0,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,3367.0,3194.0,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,3166.0,,,,
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,3260.0,,,,,,
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2976.0,,,,
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,3206.0,,,,
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,3218.0,,,,
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,3209.0,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,3198.0,,,,
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.0,,,,
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.0,,,,
2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.0,,,,
2018-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,3198.0,,,,
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.0,,,,
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,3173.0,,,,
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,3097.0,,,,
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,3174.0,,,,
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,3172.0,,,,
