,CU0001.SHF,CU0002.SHF,CU0003.SHF,CU0004.SHF,CU0005.SHF,CU0006.SHF,CU0007.SHF,CU0008.SHF,CU0009.SHF,CU0010.SHF,CU0011.SHF,CU0012.SHF,CU0101.SHF,CU0102.SHF,CU0103.SHF,CU0104.SHF,CU0105.SHF,CU0106.SHF,CU0107.SHF,CU0108.SHF,CU0109.SHF,CU0110.SHF,CU0111.SHF,CU0112.SHF,CU0201.SHF,CU0202.SHF,CU0203.SHF,CU0204.SHF,CU0205.SHF,CU0206.SHF,CU0207.SHF,CU0208.SHF,CU0209.SHF,CU0210.SHF,CU0211.SHF,CU0212.SHF,CU0301.SHF,CU0302.SHF,CU0303.SHF,CU0304.SHF,CU0305.SHF,CU0306.SHF,CU0307.SHF,CU0308.SHF,CU0309.SHF,CU0310.SHF,CU0311.SHF,CU0312.SHF,CU0401.SHF,CU0402.SHF,CU0403.SHF,CU0404.SHF,CU0405.SHF,CU0406.SHF,CU0407.SHF,CU0408.SHF,CU0409.SHF,CU0410.SHF,CU0411.SHF,CU0412.SHF,CU0501.SHF,CU0502.SHF,CU0503.SHF,CU0504.SHF,CU0505.SHF,CU0506.SHF,CU0507.SHF,CU0508.SHF,CU0509.SHF,CU0510.SHF,CU0511.SHF,CU0512.SHF,CU0601.SHF,CU0602.SHF,CU0603.SHF,CU0604.SHF,CU0605.SHF,CU0606.SHF,CU0607.SHF,CU0608.SHF,CU0609.SHF,CU0610.SHF,CU0611.SHF,CU0612.SHF,CU0701.SHF,CU0702.SHF,CU0703.SHF,CU0704.SHF,CU0705.SHF,CU0706.SHF,CU0707.SHF,CU0708.SHF,CU0709.SHF,CU0710.SHF,CU0711.SHF,CU0712.SHF,CU0801.SHF,CU0802.SHF,CU0803.SHF,CU0804.SHF,CU0805.SHF,CU0806.SHF,CU0807.SHF,CU0808.SHF,CU0809.SHF,CU0810.SHF,CU0811.SHF,CU0812.SHF,CU0901.SHF,CU0902.SHF,CU0903.SHF,CU0904.SHF,CU0905.SHF,CU0906.SHF,CU0907.SHF,CU0908.SHF,CU0909.SHF,CU0910.SHF,CU0911.SHF,CU0912.SHF,CU1001.SHF,CU1002.SHF,CU1003.SHF,CU1004.SHF,CU1005.SHF,CU1006.SHF,CU1007.SHF,CU1008.SHF,CU1009.SHF,CU1010.SHF,CU1011.SHF,CU1012.SHF,CU1101.SHF,CU1102.SHF,CU1103.SHF,CU1104.SHF,CU1105.SHF,CU1106.SHF,CU1107.SHF,CU1108.SHF,CU1109.SHF,CU1110.SHF,CU1111.SHF,CU1112.SHF,CU1201.SHF,CU1202.SHF,CU1203.SHF,CU1204.SHF,CU1205.SHF,CU1206.SHF,CU1207.SHF,CU1208.SHF,CU1209.SHF,CU1210.SHF,CU1211.SHF,CU1212.SHF,CU1301.SHF,CU1302.SHF,CU1303.SHF,CU1304.SHF,CU1305.SHF,CU1306.SHF,CU1307.SHF,CU1308.SHF,CU1309.SHF,CU1310.SHF,CU1311.SHF,CU1312.SHF,CU1401.SHF,CU1402.SHF,CU1403.SHF,CU1404.SHF,CU1405.SHF,CU1406.SHF,CU1407.SHF,CU1408.SHF,CU1409.SHF,CU1410.SHF,CU1411.SHF,CU1412.SHF,CU1501.SHF,CU1502.SHF,CU1503.SHF,CU1504.SHF,CU1505.SHF,CU1506.SHF,CU1507.SHF,CU1508.SHF,CU1509.SHF,CU1510.SHF,CU1511.SHF,CU1512.SHF,CU1601.SHF,CU1602.SHF,CU1603.SHF,CU1604.SHF,CU1605.SHF,CU1606.SHF,CU1607.SHF,CU1608.SHF,CU1609.SHF,CU1610.SHF,CU1611.SHF,CU1612.SHF,CU1701.SHF,CU1702.SHF,CU1703.SHF,CU1704.SHF,CU1705.SHF,CU1706.SHF,CU1707.SHF,CU1708.SHF,CU1709.SHF,CU1710.SHF,CU1711.SHF,CU1712.SHF,CU1801.SHF,CU1802.SHF,CU1803.SHF,CU1804.SHF,CU1805.SHF,CU1806.SHF,CU1807.SHF,CU1808.SHF,CU1809.SHF,CU1810.SHF,CU1811.SHF,CU1812.SHF,CU1901.SHF,CU1902.SHF,CU1903.SHF
1999-06-18,14500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-24,15020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-25,15400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-28,15450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,15610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,16070.0,16400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
