,AU0806.SHF,AU0807.SHF,AU0808.SHF,AU0809.SHF,AU0810.SHF,AU0811.SHF,AU0812.SHF,AU0901.SHF,AU0902.SHF,AU0903.SHF,AU0904.SHF,AU0905.SHF,AU0906.SHF,AU0907.SHF,AU0908.SHF,AU0909.SHF,AU0910.SHF,AU0911.SHF,AU0912.SHF,AU1001.SHF,AU1002.SHF,AU1003.SHF,AU1004.SHF,AU1005.SHF,AU1006.SHF,AU1007.SHF,AU1008.SHF,AU1009.SHF,AU1010.SHF,AU1011.SHF,AU1012.SHF,AU1101.SHF,AU1102.SHF,AU1103.SHF,AU1104.SHF,AU1105.SHF,AU1106.SHF,AU1107.SHF,AU1108.SHF,AU1109.SHF,AU1110.SHF,AU1111.SHF,AU1112.SHF,AU1201.SHF,AU1202.SHF,AU1203.SHF,AU1204.SHF,AU1205.SHF,AU1206.SHF,AU1207.SHF,AU1208.SHF,AU1209.SHF,AU1210.SHF,AU1211.SHF,AU1212.SHF,AU1301.SHF,AU1302.SHF,AU1303.SHF,AU1304.SHF,AU1305.SHF,AU1306.SHF,AU1307.SHF,AU1308.SHF,AU1309.SHF,AU1310.SHF,AU1311.SHF,AU1312.SHF,AU1401.SHF,AU1402.SHF,AU1403.SHF,AU1404.SHF,AU1405.SHF,AU1406.SHF,AU1407.SHF,AU1408.SHF,AU1409.SHF,AU1410.SHF,AU1411.SHF,AU1412.SHF,AU1501.SHF,AU1502.SHF,AU1503.SHF,AU1504.SHF,AU1505.SHF,AU1506.SHF,AU1507.SHF,AU1508.SHF,AU1509.SHF,AU1510.SHF,AU1511.SHF,AU1512.SHF,AU1601.SHF,AU1602.SHF,AU1603.SHF,AU1604.SHF,AU1605.SHF,AU1606.SHF,AU1607.SHF,AU1608.SHF,AU1609.SHF,AU1610.SHF,AU1611.SHF,AU1612.SHF,AU1701.SHF,AU1702.SHF,AU1703.SHF,AU1704.SHF,AU1705.SHF,AU1706.SHF,AU1707.SHF,AU1708.SHF,AU1709.SHF,AU1710.SHF,AU1711.SHF,AU1712.SHF,AU1801.SHF,AU1802.SHF,AU1803.SHF,AU1804.SHF,AU1806.SHF,AU1808.SHF,AU1810.SHF,AU1812.SHF,AU1805.SHF,AU1902.SHF,AU1904.SHF,AU1807.SHF
2008-01-09,16342.0,2656.0,1816.0,214.0,176.0,136.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-10,23494.0,2768.0,1854.0,218.0,180.0,182.0,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-11,25424.0,2882.0,2702.0,230.0,186.0,184.0,806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-14,27714.0,2702.0,2724.0,238.0,186.0,188.0,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-15,29866.0,2658.0,2840.0,244.0,180.0,198.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-16,29582.0,2762.0,2888.0,276.0,186.0,188.0,1300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-17,30916.0,2684.0,2886.0,274.0,188.0,184.0,1578.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-18,29538.0,2580.0,2880.0,286.0,190.0,184.0,1576.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-21,30294.0,2530.0,2892.0,282.0,188.0,184.0,1590.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-22,29326.0,2510.0,2822.0,328.0,190.0,188.0,1612.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
