,B0503.DCE,B0505.DCE,B0507.DCE,B0509.DCE,B0511.DCE,B0601.DCE,B0603.DCE,B0605.DCE,B0607.DCE,B0609.DCE,B0611.DCE,B0701.DCE,B0703.DCE,B0705.DCE,B0707.DCE,B0709.DCE,B0711.DCE,B0801.DCE,B0803.DCE,B0805.DCE,B0807.DCE,B0809.DCE,B0811.DCE,B0901.DCE,B0903.DCE,B0905.DCE,B0907.DCE,B0909.DCE,B0911.DCE,B1001.DCE,B1003.DCE,B1005.DCE,B1007.DCE,B1009.DCE,B1011.DCE,B1101.DCE,B1103.DCE,B1105.DCE,B1107.DCE,B1109.DCE,B1111.DCE,B1201.DCE,B1203.DCE,B1205.DCE,B1207.DCE,B1209.DCE,B1211.DCE,B1301.DCE,B1303.DCE,B1305.DCE,B1307.DCE,B1309.DCE,B1311.DCE,B1401.DCE,B1403.DCE,B1405.DCE,B1407.DCE,B1409.DCE,B1411.DCE,B1501.DCE,B1503.DCE,B1505.DCE,B1507.DCE,B1509.DCE,B1511.DCE,B1601.DCE,B1603.DCE,B1605.DCE,B1607.DCE,B1609.DCE,B1611.DCE,B1701.DCE,B1703.DCE,B1705.DCE,B1707.DCE,B1709.DCE,B1711.DCE,B1801.DCE,B1803.DCE,B1805.DCE,B1806.DCE,B1807.DCE,B1808.DCE,B1809.DCE,B1810.DCE,B1811.DCE,B1812.DCE,B1901.DCE,B1902.DCE,B1903.DCE
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
